run_id,variant,sample,block_size,gui_win_x,gui_win_y,quality,max_corners,actual_lk_window,total_detected_features,reference_total_features,frames_represented,reference_frames,per_feature_error,frame_mean_error,frame_max_error,profile_error,feature_count_error,runtime_s,failures_or_warnings,missing_frames,extra_frames,feature_velocity_mean,feature_velocity_sd,feature_velocity_quantiles,reference_velocity_quantiles,frame_mean_mae,frame_mean_rmse,frame_mean_max_abs,frame_mean_pearson,frame_mean_spearman,frame_mean_signed,frame_max_mae,frame_max_rmse,frame_max_max_abs,frame_max_pearson,frame_max_spearman,frame_max_signed,count_mae,count_rmse,count_pearson,count_spearman,profile_mae,profile_rmse,profile_max_abs,profile_pearson,profile_spearman,profile_signed,reference_wall_max_ratio,reference_normalized_range,reference_profile_cv,reference_normalized_quadratic_coefficient,reference_quadratic_r2,reproduced_wall_max_ratio,reproduced_normalized_range,reproduced_profile_cv,reproduced_normalized_quadratic_coefficient,reproduced_quadratic_r2,parameter_basis,reproduction_class
A01_control,A_legacy,control,5,50,20,0.01,250,"(10, 25)",399250,399250,1597,1597,36.71515395899075,7.252993458339404,22.657481579996023,9.036624786493691,0.0,11.407319100107998,,0,0,500.48391967849875,46.09525992951251,"[113.47953796386719, 368.20752685546876, 414.370378112793, 475.11558532714844, 506.2585144042969, 532.8814392089844, 564.4393035888672, 584.4380627441407, 727.5192260742188]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",6.755266250297438,7.252993458339404,17.436618865966864,0.9154748577231977,0.9103266427832534,-6.750641373925159,14.684461113506357,22.657481579996023,137.25115966796875,0.5727709860380841,0.5669102912024684,-5.025747416238898,0.0,0.0,nan,nan,6.8579287107516205,9.036624786493691,20.901160708600287,0.9797332707951827,0.9701754385964911,-5.577326715613885,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.8481433348931261,0.15338092890736513,0.05479772580016474,-0.00013001391701341638,0.9591209446301115,source defaults + archived corner ceiling,partial numerical reproduction
A01_sepsis,A_legacy,sepsis,5,50,20,0.01,250,"(10, 25)",401000,371093,1604,1604,29.876125870998774,12.842266074842932,26.070169692379594,12.643644552300486,18.645261845386532,7.405458900146186,,0,0,549.5727018643614,68.72494989909914,"[53.79766845703125, 350.4422219848633, 425.3718551635742, 509.78406524658203, 558.6875305175781, 597.7960968017578, 644.990121459961, 677.5109106445314, 908.7658081054688]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",12.170628616624567,12.842266074842932,24.9159302154153,0.9547057834739953,0.9540451405868873,-12.166131261607525,17.820388400346562,26.070169692379594,190.178466796875,0.5655839755572749,0.5995952232852159,-4.469604840599688,18.645261845386532,19.867061299756422,nan,nan,12.221897624959896,12.643644552300486,19.638025326972638,0.9260980375706014,0.9070175438596491,-12.221897624959896,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.963214242459657,0.049131928369029444,0.013279876462413081,-3.5184577791638435e-05,0.8117922769588216,source defaults + archived corner ceiling,partial numerical reproduction
A02_control,A_legacy,control,3,50,20,0.01,250,"(10, 25)",399250,399250,1597,1597,47.060135831279695,9.140925828201668,26.56922852610102,10.220281503143337,0.0,6.5363644999451935,,0,0,498.85329203061633,47.06873348571498,"[80.43785858154297, 364.9201065063477, 411.083837890625, 472.4360580444336, 505.1157531738281, 532.2000885009766, 563.9809814453125, 583.5873065185548, 748.1669311523438]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",8.39628369668281,9.140925828201668,23.312865997314532,0.8554000304083619,0.8487288752638055,-8.38126902180757,17.791201180044233,26.56922852610102,152.583740234375,0.39647009992022136,0.4526204362815091,-7.9510989741526625,0.0,0.0,nan,nan,7.4386132728910335,10.220281503143337,23.460176829121394,0.9783900243091427,0.9736842105263157,-6.36308288859085,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.844561206796101,0.15601478655624815,0.05685896900003078,-0.00013488416411915933,0.960012194890357,small declared block grid,partial numerical reproduction
A02_sepsis,A_legacy,sepsis,3,50,20,0.01,250,"(10, 25)",401000,371093,1604,1604,24.19951393696694,10.693812332766543,28.59865512572523,9.955112172998314,18.645261845386532,6.510728600202128,,0,0,552.4668224783157,67.81701106871895,"[65.30918884277344, 355.263606262207, 430.12227935791014, 513.3293151855469, 561.1969909667969, 600.1223907470703, 646.5991363525391, 679.2194641113282, 843.8966674804688]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",9.483437405124207,10.693812332766543,28.78571633976071,0.9217456686461976,0.9212774786408958,-9.272010647653213,20.021526868206603,28.59865512572523,182.96112060546875,0.46091745641839543,0.4883150060196566,-4.029581813146349,18.645261845386532,19.867061299756422,nan,nan,9.228155930760767,9.955112172998314,18.22423453603801,0.9260778525346135,0.856140350877193,-9.228155930760767,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9582707545141091,0.0538601256802983,0.01428492741255732,-3.840233665937717e-05,0.8261827945074415,small declared block grid,partial numerical reproduction
A03_control,A_legacy,control,7,50,20,0.01,250,"(10, 25)",399250,399250,1597,1597,24.162794284372843,5.532514555209417,25.733049743767292,8.17534204972161,0.0,6.328203999903053,,0,0,502.2873449259491,44.81372870247853,"[150.35116577148438, 372.496643371582, 418.2820022583008, 478.1322784423828, 507.65765380859375, 533.6272583007812, 564.5588409423829, 584.0013580322266, 733.5516967773438]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",5.005371409686716,5.532514555209417,14.578370536804186,0.9241324493954779,0.9181670502634987,-4.9472161264748005,17.415281778286605,25.733049743767292,134.44891357421875,0.44729659851860876,0.4953999627804213,-5.750210490313335,0.0,0.0,nan,nan,6.3918645989982465,8.17534204972161,18.80794010049516,0.9806603253868202,0.9824561403508772,-5.01804986432309,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.8522123678561949,0.15024899642925102,0.05321346623222872,-0.00012664062709567497,0.960532038740557,small declared block grid,partial numerical reproduction
A03_sepsis,A_legacy,sepsis,7,50,20,0.01,250,"(10, 25)",399897,371093,1604,1604,19.206294899727755,15.469987390555518,29.017256554525467,15.283757087310528,17.997506234413965,6.663373300107196,,0,0,546.8679765299746,69.06636895064236,"[9.844907760620117, 346.9333203125, 422.1333435058594, 506.8785705566406, 555.848876953125, 595.29638671875, 642.9072631835936, 676.4237573242187, 880.305908203125]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",14.857840006869445,15.469987390555518,29.75826717221298,0.9487537180804405,0.9471450803207523,-14.857840006869445,20.514763243477837,29.017256554525467,170.948974609375,0.5120658795867454,0.5139557730133385,-2.7467598154063237,17.997506234413965,19.25122660210994,0.16924445514938413,0.18925651320112602,15.00260486384839,15.283757087310528,19.261421156651068,0.9067012128283723,0.8421052631578947,-15.00260486384839,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9653337359728354,0.04303970656445965,0.012090000498307144,-3.25641553615311e-05,0.800175758770924,small declared block grid,partial numerical reproduction
A04_control,A_legacy,control,5,100,40,0.01,250,"(20, 50)",399250,399250,1597,1597,285.06969108595354,293.5326753575124,313.73639319870375,294.4088348451638,0.0,8.590394000057131,,0,0,213.8612588981958,29.489441165665685,"[50.976531982421875, 144.45690826416015, 165.53407363891603, 194.1825294494629, 213.8017578125, 233.63523864746094, 262.2139953613281, 282.9588095092774, 394.58148193359375]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",293.3733021542281,293.5326753575124,323.3440275650024,-0.029849954228109918,-0.038749558322353245,-293.3733021542281,312.42330534307376,313.73639319870375,438.8892517089844,0.1219391911685013,0.11199294767949562,-312.42330534307376,0.0,0.0,nan,nan,293.26359308615645,294.4088348451638,323.2977580857763,-0.8982543063210804,-0.9456140350877192,-293.26359308615645,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.9979923296527934,0.07222515002527496,0.02317390236583587,5.19278891492792e-05,0.8360272126949952,larger declared search window,failed reproduction
A04_sepsis,A_legacy,sepsis,5,100,40,0.01,250,"(20, 50)",401000,371093,1604,1604,384.54504053036874,403.25220012421295,443.16202385804803,403.10853178888124,18.645261845386532,8.21661700005643,,0,0,158.56819425782362,36.76153106772125,"[2.1177918910980225, 74.98608161926269, 99.47603607177734, 133.64684677124023, 157.79093170166016, 182.8575325012207, 220.23521041870117, 246.223911895752, 356.2942199707031]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",403.17063886814543,403.25220012421295,426.09847552089366,0.7988877185055274,0.7846129308581206,-403.17063886814543,441.96830603606685,443.16202385804803,577.4357604980469,0.17010307591211132,0.1724942978797404,-441.96830603606685,18.645261845386532,19.867061299756422,nan,nan,403.0238977356407,403.10853178888124,414.9386451884641,-0.7745276896289989,-0.7105263157894737,-403.0238977356407,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9833506656795119,0.0891275517547429,0.025965798935526658,6.115753107035945e-05,0.8278213419841336,larger declared search window,failed reproduction
A05_control,A_legacy,control,3,100,40,0.01,250,"(20, 50)",399250,399250,1597,1597,283.248919088052,292.7746392325824,313.4626971939594,293.80326257157355,0.0,8.950440099928528,,0,0,214.61792301274002,29.4711872810688,"[41.0688591003418, 145.12020095825196, 166.20748748779297, 195.0282325744629, 214.53614807128906, 234.3328857421875, 262.9436950683594, 283.5553991699219, 408.75885009765625]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",292.61663803968383,292.7746392325824,322.32370960235596,-0.02770097287493224,-0.036703943595555295,-292.61663803968383,312.12574121335484,313.4626971939594,455.15447998046875,0.11542693508447745,0.10412751175846365,-312.12574121335484,0.0,0.0,nan,nan,292.6418454721194,293.80326257157355,322.70226445107005,-0.916259575829472,-0.9578947368421052,-292.6418454721194,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.998241073819797,0.07256173833170743,0.023530052716804816,5.394628441796638e-05,0.8723924752282073,block/window cross-grid,failed reproduction
A05_sepsis,A_legacy,sepsis,3,100,40,0.01,250,"(20, 50)",401000,371093,1604,1604,381.5333267887754,402.6649378550926,443.32370422239865,402.62276581056256,18.645261845386532,8.858960000099614,,0,0,159.15826966652313,36.72935450781655,"[5.273089408874512, 75.5955647277832, 100.16828765869141, 134.25706481933594, 158.36129760742188, 183.40021896362305, 220.8187446594238, 247.1901208496094, 374.04449462890625]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",402.58056345944584,402.6649378550926,426.44809451625656,0.7902919530926339,0.7749607301817051,-402.58056345944584,442.12334570206906,443.32370422239865,591.5327911376953,0.17046962594110274,0.17404626113849256,-442.12334570206906,18.645261845386532,19.867061299756422,nan,nan,402.53389281647264,402.62276581056256,414.7560066528376,-0.7890780795728956,-0.736842105263158,-402.53389281647264,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9824211197244299,0.09039329737123895,0.02702770053583877,6.419224006618138e-05,0.8548502608261668,block/window cross-grid,failed reproduction
A06_control,A_legacy,control,7,100,40,0.01,250,"(20, 50)",399250,399250,1597,1597,282.06808351810577,293.8780656426133,313.95181616693344,294.5678678171597,0.0,7.899833200033754,,0,0,213.51463494972415,29.482862155155928,"[42.096893310546875, 144.29376388549804, 165.22395095825195, 193.8537254333496, 213.40802764892578, 233.21070861816406, 261.9566711425781, 282.55621826171875, 423.4351806640625]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",293.71992610269973,293.8780656426133,325.0698335113525,-0.027711004339456852,-0.03854801703019132,-293.71992610269973,312.65394433797263,313.95181616693344,426.5858459472656,0.12541335358075856,0.10738851284307448,-312.65394433797263,0.0,0.0,nan,nan,293.41819421157254,294.5678678171597,322.79587685273884,-0.9037771701963687,-0.9491228070175438,-293.41819421157254,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.9999279698481552,0.06983694855805382,0.02337076020282614,5.276672618032056e-05,0.8458521053543111,block/window cross-grid,failed reproduction
A06_sepsis,A_legacy,sepsis,7,100,40,0.01,250,"(20, 50)",399897,371093,1604,1604,384.6587238851329,403.65998737541827,442.381201747635,403.4385760525791,17.997506234413965,7.803406800143421,,0,0,158.1459430799051,36.90615002295196,"[4.474606513977051, 74.14422149658203, 98.95045471191406, 133.13571166992188, 157.33737182617188, 182.50613403320312, 220.04082031249987, 246.784052734375, 357.1612854003906]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",403.5808573828634,403.65998737541827,426.45100026271655,0.8084714475468734,0.7936218187863285,-403.5808573828634,441.18257779076214,442.381201747635,581.7551879882812,0.18637804193509094,0.1781225075256303,-441.18257779076214,17.997506234413965,19.25122660210994,0.16924445514938413,0.18925651320112602,403.3518138743934,403.4385760525791,415.2999081084339,-0.7661949854279613,-0.6771929824561403,-403.3518138743934,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9817075318162283,0.09155902750445354,0.0268985384943684,6.156310498737882e-05,0.8276627492097485,block/window cross-grid,failed reproduction
A07_control,A_legacy,control,5,50,20,0.1,250,"(10, 25)",399250,399250,1597,1597,36.71515395899075,7.252993458339404,22.657481579996023,9.036624786493691,0.0,6.771758000133559,,0,0,500.48391967849875,46.09525992951251,"[113.47953796386719, 368.20752685546876, 414.370378112793, 475.11558532714844, 506.2585144042969, 532.8814392089844, 564.4393035888672, 584.4380627441407, 727.5192260742188]","[217.4195289611816, 388.17496185302736, 431.2911796569825, 485.00722885131836, 511.695556640625, 535.4888916015625, 564.7437934875488, 585.1507011413574, 750.0732421875]",6.755266250297438,7.252993458339404,17.436618865966864,0.9154748577231977,0.9103266427832534,-6.750641373925159,14.684461113506357,22.657481579996023,137.25115966796875,0.5727709860380841,0.5669102912024684,-5.025747416238898,0.0,0.0,nan,nan,6.8579287107516205,9.036624786493691,20.901160708600287,0.9797332707951827,0.9701754385964911,-5.577326715613885,0.8803425696423048,0.124537539154843,0.043622116899583493,-0.00010488518991106253,0.9811315147590755,0.8481433348931261,0.15338092890736513,0.05479772580016474,-0.00013001391701341638,0.9591209446301115,help-documented quality level,partial numerical reproduction
A07_sepsis,A_legacy,sepsis,5,50,20,0.1,250,"(10, 25)",400912,371093,1604,1604,29.876446344910388,12.844090602107478,26.146323264428823,12.644373299474651,18.601620947630924,7.636412400053814,,0,0,549.5719944321206,68.72584973178081,"[53.79766845703125, 350.44149688720705, 425.370133972168, 509.7832946777344, 558.6888122558594, 597.7960968017578, 644.9901947021484, 677.5009741210938, 908.7658081054688]","[0.5879974365234375, 377.56976318359375, 447.10912513732904, 525.3118896484375, 570.1201248168945, 605.7358932495117, 649.5324096679686, 680.7369689941407, 849.3716430664062]",12.17179464564404,12.844090602107478,24.9159302154153,0.9546777223691969,0.9540375889643723,-12.167297290626998,17.860354859930023,26.146323264428823,190.178466796875,0.5629615510128303,0.5972661263576624,-4.509571300183151,18.601620947630924,19.835152930355076,0.03818738356732381,0.04175264136384738,12.222949826014375,12.644373299474651,19.633888893040535,0.9260799944615683,0.9070175438596491,-12.222949826014375,0.972542209336669,0.03372165704319911,0.008702851252684312,-2.3879635584156597e-05,0.8346253297808691,0.9632096183270954,0.049121204446260835,0.013276948552693364,-3.518237223975325e-05,0.8119390210243156,help-documented quality level,partial numerical reproduction
